MJ03,MJ06,MJ05,JAAC001,JAAC002,JAAC003,JAAC004,JAAC005,JAAC007,JAAC008,JAAC009,JAAC010,JAAC011,JAAC012,JAAC013,JAAC014,JAAC020,JAAC021,JAAC022,JAAC023,JAAC024,JAAC025,JAAC026,JAAC027,MJ07
10000008,1,1,1,61,2,1,3, , , , , ,3,2,2,7,3,      ,0,6,3,3,7,1
10000013,1,1,1,78,1,1,1, , , , , ,3,3,2,1,1,196908,1,5,2,6,7,1
10000013,1,2,2,76,2,1,21, , , , , ,2,2,2,1,3,      ,0,6,3,6,7,
10000015,1,1,1,62,1,1,1, , , , , ,3,3,2,1,1,197912,1,5,2,6,7,1
10000019,1,1,1,33,1,1,1, , , , , ,4,4, ,1,1,201012,1,5,2,6,7,1
10000019,1,2,2,26,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,2,1,
10000020,1,1,1,54,1,1,1, , , , , ,4,4, ,1,1,200903,1,5,2,6,7,1
10000020,1,2,2,31,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,3,7,
10000025,1,1,1,46,2,1,1, , , , , ,4,4, ,1,1,200705,1,5,2,6,7,1
10000025,1,2,2,64,1,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,
10000028,1,1,1,28,1,1,1, , , , , ,4,4, ,1,1,201202,1,5,3,6,7,1
10000028,1,2,2,18,1,1,21, , , , , ,3,3,1,1,3,      ,0,6,3,6,7,
10000040,1,1,1,47,1,1,1, , , , , ,4,4, ,1,1,200703,1,3,3,6,7,1
10000040,1,2,2,25,1,1,3, , , , , ,3,3,1,7,3,      ,0,6,3,5,7,
10000047,1,1,1,41,1,1,1, , , , , ,4,4, ,1,1,199709,1,5,2,6,7,1
10000047,1,2,2,59,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,2,7,
10000058,1,1,1,65,1,1,1, , , , , ,4,4, ,1,1,198305,1,5,3,6,7,1
10000058,2,2,2,41,2,1,1, , , , , ,3,3,1,1,1,199603,1,5,3,6,7,
10000068,1,1,1,18,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,1
10000074,1,1,1,40,2,1,1, , , , , ,4,4, ,1,1,201302,1,5,2,6,7,1
10000074,1,2,2,23,2,1,21, , , , , ,3,3,2,1,3,      ,0,5,2,6,7,
10000082,1,1,1,50,1,1,1, , , , , ,4,4, ,1,1,198510,1,5,2,6,7,1
10000082,2,2,2,50,1,1,1, , , , , ,4,4, ,1,1,198808,1,5,2,6,7,
10000082,2,3,2,63,2,1,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
10000101,1,1,1,24,1,1,1, , , , , ,3,3,2,1,1,201408,1,5,3,6,7,1
10000104,1,1,1,19,1,1,1, , , , , ,3,3,2,1,1,201603,1,5,3,6,7,1
10000117,1,1,1,23,1,1,1, , , , , ,4,4, ,1,1,201603,1,5,2,6,7,1
10000117,1,2,2,15,1,1,22, , , , , ,3,3,2,1,3,      ,0,5,2,6,7,
10000117,2,3,2,44,2,1,21, , , , , ,3,3,2,1,3,      ,0,5,2,6,7,
10000117,2,4,2,12,2,1,22, , , , , ,3,3,2,1,3,      ,0,5,2,6,7,
10000118,1,1,1,29,1,1,1, , , , , ,3,3,2,3,1,200711,1,5,2,6,7,1
10000147,1,1,1,81,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,1
10000152,1,1,1,65,1,1,1, , , , , ,4,4, ,1,1,197301,1,2,3,6,7,1
10000152,1,2,2,40,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,4,7,
10000154,1,1,1,20,1,1,1, , , , , ,3,3,1,2,1,201409,1,5,2,6,7,1
10000170,1,1,1,85,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,1,7,1
10000170,1,2,2,31,1,1,1, , , , , ,4,4, ,1,1,200507,1,5,3,6,7,
10000183,1,1,1,43,2,1,1, , , , , ,4,4, ,1,1,201207,1,5,2,6,7,1
10000183,1,2,2,57,1,1,3, , , , , ,3,2,2,7,3,      ,0,6,3,2,7,
10000202,1,1,1,46,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,1,7,1
10000202,1,2,2,38,2,1,1, , , , , ,4,4, ,1,1,199903,1,5,3,6,7,
10000217,1,1,1,47,1,1,1, , , , , ,4,4, ,1,1,201608,1,5,2,6,7,1
10000217,1,2,2,12,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
10000221,1,1,1,42,1,1,1, , , , , ,3,3,2,1,1,199401,1,5,2,6,7,1
10000221,2,2,2,59,2,1,1, , , , , ,3,2,2,1,1,198308,1,5,2,6,7,
10000234,1,1,1,26,1,1,1, , , , , ,1,1,1,1,1,201608,1,6,3,6,7,1
10300021,1,1,1,72,2,1,1, , , , , ,3,3,1,1,1,198606,1,5,3,6,7,1
10300021,2,2,2,20,1,1,1, , , , , ,3,3,1,1,1,201409,1,5,3,6,7,
10300033,1,1,1,43,1,1,1, , , , , ,4,4, ,1,1,199112,1,5,2,6,7,1
10300033,1,2,2,41,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
10400004,1,1,1,46,1,1,1, , , , , ,4,4, ,1,1,198807,1,5,2,6,7,1
10400004,1,2,2,48,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
10600061,1,1,1,52,1,1,1, , , , , ,4,4, ,1,1,198503,1,5,3,6,7,1
10600061,2,2,2,44,1,1,1, , , , , ,4,4, ,1,1,199303,1,5,3,6,7,
10600061,3,3,2,31,1,1,1, , , , , ,4,4, ,1,1,200411,1,5,3,6,7,
10600061,3,4,2,55,2,1,3, , , , , ,3,3,1,7,3,      ,0,6,3,6,7,
10600062,1,1,1,39,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,6,7,1
10600062,1,2,2,37,1,1,1, , , , , ,4,4, ,1,2,      ,0,5,2,6,7,
10800030,1,1,1,25,1,1,1, , , , , ,4,4, ,1,1,201009,1,5,3,6,7,1
10800030,2,2,2,78,2,1,1, , , , , ,3,3,2,1,1,196005,1,5,3,6,7,
10800032,1,1,1,24,2,1,1, , , , , ,4,4, ,1,1,201608,1,5,2,6,7,1
10800032,2,2,2,23,1,1,1, , , , , ,3,3,2,3,2,      ,0,5,2,6,7,
10900009,1,1,1,42,1,1,1, , , , , ,4,4, ,1,1,199510,1,5,3,6,7,1
10900009,1,3,2,41,2,1,21, , , , , ,2,2,2,2,3,      ,0,6,3,6,7,
10900009,2,2,2,53,1,1,1, , , , , ,4,4, ,1,1,198705,1,5,3,6,7,
11000022,1,1,1,67,1,1,1, , , , , ,4,4, ,1,1,197509,1,5,3,6,7,1
11000022,2,2,2,73,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,5,7,
11000022,3,3,2,31,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,5,7,
